,Index,Node,Nbr_Node,Nbr_Count,Hello_Cnt,AODV_Msg_Nbr_Cnt,RREQs_Sent_To_Nbr,RREQs_From_Nbr,Nbr_Never_Sends_RREQ,Nbr_Is_Orig_Cnt,Nbr_Never_Orig,Nbr_Is_Dest_Cnt,Nbr_Never_Dest,All_RREPs_Rcvd_This_Node,RREPs_From_Nbr,RREP_Resp_Pct,Pct_Of_All_RREPs,Hop_Cnt_Over_1_Cnt,Hop_Cnt_Over_1_Pct,High_Dest_Seq_Num_Inc_Cnt,High_Dest_Seq_Num_Inc_Pct,Avg_Resp_Dly,Avg_Resp_Dly_Per_Hop,RERRs_From_Nbr,RERRs_From_Nbr_Pct,Pct_of_All_Nbrs,RREP_To_Nbrs_Ratio,Black_Hole_Node
372,373,10.1.1.2,10.1.1.1,42,50,91,183,55,FALSE,3,FALSE,0,TRUE,789,17,9.29,2.15,2,11.76,0,0,1.121563353,0.7520885,19,111.76,2.38,0.903361345,FALSE
373,374,10.1.1.2,10.1.1.50,42,14,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
374,375,10.1.1.2,10.1.1.31,42,82,58,183,18,FALSE,0,TRUE,0,TRUE,789,22,12.02,2.79,15,68.18,0,0,1.882856727,0.320520228,18,81.82,2.38,1.172268908,FALSE
375,376,10.1.1.2,10.1.1.27,42,32,16,183,12,FALSE,0,TRUE,0,TRUE,789,1,0.55,0.13,1,100,0,0,0.01997,0.006656667,3,300,2.38,0.054621849,FALSE
376,377,10.1.1.2,10.1.1.18,42,47,44,183,26,FALSE,16,FALSE,0,TRUE,789,8,4.37,1.01,5,62.5,0,0,1.817581875,0.407570235,10,125,2.38,0.424369748,FALSE
377,378,10.1.1.2,10.1.1.44,42,41,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
378,379,10.1.1.2,10.1.1.21,42,4,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
379,380,10.1.1.2,10.1.1.43,42,40,127,183,52,FALSE,1,FALSE,0,TRUE,789,44,24.04,5.58,34,77.27,0,0,1.888241455,0.516806248,31,70.45,2.38,2.344537815,FALSE
380,381,10.1.1.2,10.1.1.20,42,33,1,183,1,FALSE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
381,382,10.1.1.2,10.1.1.15,42,8,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
382,383,10.1.1.2,10.1.1.8,42,12,17,183,14,FALSE,4,FALSE,0,TRUE,789,3,1.64,0.38,2,66.67,0,0,1.056922333,0.585334778,0,0,2.38,0.159663866,FALSE
383,384,10.1.1.2,10.1.1.7,42,21,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
384,385,10.1.1.2,10.1.1.30,42,53,127,183,51,FALSE,1,FALSE,0,TRUE,789,37,20.22,4.69,23,62.16,0,0,1.494973973,0.395685045,39,105.41,2.38,1.970588235,FALSE
385,386,10.1.1.2,10.1.1.33,42,42,177,183,66,FALSE,2,FALSE,0,TRUE,789,68,37.16,8.62,55,80.88,0,0,2.93934275,0.81083566,43,63.24,2.38,3.621848739,FALSE
386,387,10.1.1.2,10.1.1.5,42,21,79,183,29,FALSE,2,FALSE,0,TRUE,789,36,19.67,4.56,25,69.44,0,0,1.678138889,0.484731651,14,38.89,2.38,1.915966387,FALSE
387,388,10.1.1.2,10.1.1.6,42,29,97,183,47,FALSE,1,FALSE,0,TRUE,789,37,20.22,4.69,18,48.65,0,0,2.81437527,0.999651295,13,35.14,2.38,1.970588235,FALSE
388,389,10.1.1.2,10.1.1.39,42,43,1,183,1,FALSE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
389,390,10.1.1.2,10.1.1.28,42,23,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
390,391,10.1.1.2,10.1.1.47,42,65,202,183,83,FALSE,0,TRUE,0,TRUE,789,72,39.34,9.13,40,55.56,0,0,1.802099278,0.648939536,47,65.28,2.38,3.836134454,FALSE
391,392,10.1.1.2,10.1.1.49,42,15,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
392,393,10.1.1.2,10.1.1.32,42,40,59,183,17,FALSE,1,FALSE,0,TRUE,789,24,13.11,3.04,22,91.67,0,0,1.402327458,0.413614475,18,75,2.38,1.277310924,FALSE
393,394,10.1.1.2,10.1.1.4,42,42,13,183,0,TRUE,0,TRUE,0,TRUE,183,183,100,100,0,0,183,100,0.076212,0.038106,0,0,2.38,42.01680672,TRUE
394,395,10.1.1.2,10.1.1.36,42,12,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
395,396,10.1.1.2,10.1.1.16,42,24,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
396,397,10.1.1.2,10.1.1.10,42,19,0,183,0,TRUE,0,TRUE,0,TRUE,789,0,0,0,0,,0,,,,0,,2.38,0,FALSE
397,398,10.1.1.2,10.1.1.9,42,25,105,183,30,FALSE,4,FALSE,0,TRUE,789,64,34.97,8.11,53,82.81,0,0,3.3969655,0.813679863,11,17.19,2.38,3.407563025,FALSE
398,399,10.1.1.2,10.1.1.29,42,9,56,183,26,FALSE,0,TRUE,0,TRUE,789,20,10.93,2.53,16,80,0,0,2.61960635,0.691861664,10,50,2.38,1.06302521,FALSE
399,400,10.1.1.2,10.1.1.34,42,9,29,183,11,FALSE,0,TRUE,0,TRUE,789,12,6.56,1.52,11,91.67,0,0,2.61036775,0.76610899,6,50,2.38,0.638655462,FALSE
400,401,10.1.1.2,10.1.1.17,42,6,145,183,51,FALSE,27,FALSE,0,TRUE,789,53,28.96,6.72,19,35.85,0,0,1.729774981,0.680236347,41,77.36,2.38,2.823529412,FALSE
401,402,10.1.1.2,10.1.1.46,42,11,80,183,44,FALSE,3,FALSE,0,TRUE,789,21,11.48,2.66,5,23.81,0,0,1.762990905,1.183577949,15,71.43,2.38,1.117647059,FALSE
402,403,10.1.1.2,10.1.1.38,42,20,91,183,48,FALSE,0,TRUE,0,TRUE,789,22,12.02,2.79,12,54.55,0,0,2.211780227,0.57877745,21,95.45,2.38,1.172268908,FALSE
403,404,10.1.1.2,10.1.1.25,42,10,65,183,32,FALSE,1,FALSE,0,TRUE,789,15,8.2,1.9,2,13.33,0,0,2.912530533,1.399303702,18,120,2.38,0.798319328,FALSE
404,405,10.1.1.2,10.1.1.22,42,18,71,183,35,FALSE,0,TRUE,0,TRUE,789,16,8.74,2.03,9,56.25,0,0,0.869955687,0.195383237,20,125,2.38,0.852941176,FALSE
405,406,10.1.1.2,10.1.1.26,42,9,27,183,20,FALSE,0,TRUE,0,TRUE,789,2,1.09,0.25,1,50,0,0,1.018661,0.424047667,5,250,2.38,0.105042017,FALSE
406,407,10.1.1.2,10.1.1.23,42,18,59,183,34,FALSE,0,TRUE,0,TRUE,789,7,3.83,0.89,1,14.29,0,0,0.978042429,0.488815786,18,257.14,2.38,0.37394958,FALSE
407,408,10.1.1.2,10.1.1.14,42,10,42,183,25,FALSE,16,FALSE,0,TRUE,789,12,6.56,1.52,11,91.67,0,0,1.502102417,0.397379168,5,41.67,2.38,0.638655462,FALSE
408,409,10.1.1.2,10.1.1.42,42,5,11,183,6,FALSE,1,FALSE,0,TRUE,789,2,1.09,0.25,1,50,0,0,1.017683,0.340207167,3,150,2.38,0.105042017,FALSE
