iter	Logloss
0	0.6777855408
1	0.6641685349
2	0.648629456
3	0.6331876792
4	0.6184585035
5	0.6030227895
6	0.5917221202
7	0.5771513468
8	0.5617348946
9	0.5488162094
10	0.5358527996
11	0.5244938652
12	0.5121393425
13	0.5010554587
14	0.4901326012
15	0.478025681
16	0.4675662472
17	0.4564354379
18	0.4450855339
19	0.434234804
20	0.4245995558
21	0.414709145
22	0.4051286543
23	0.3949901471
24	0.3850840234
25	0.3756232595
26	0.3658285299
27	0.3577214205
28	0.3476063546
29	0.3397797113
30	0.3315072596
31	0.3233541291
32	0.3155535956
33	0.3075334984
34	0.3006294181
35	0.2930881071
36	0.286458178
37	0.2794985917
38	0.2734826677
39	0.2665121185
40	0.2599697141
41	0.2542934805
42	0.2485672428
43	0.2418718648
44	0.2366427952
45	0.2305850969
46	0.2260172563
47	0.221382856
48	0.2172197606
49	0.2118270934
50	0.207196117
51	0.2021543596
52	0.1978803089
53	0.1940172522
54	0.1891541769
55	0.1852735178
56	0.1806867635
57	0.1774747894
58	0.1734022388
59	0.169819246
60	0.1656669502
61	0.1622831421
62	0.1586755139
63	0.1551241206
64	0.1516245388
65	0.1483345584
66	0.1444729967
67	0.1408701503
68	0.1380999927
69	0.1355472382
70	0.1331031777
71	0.1305162109
72	0.1268023203
73	0.124265082
74	0.1220412555
75	0.1193933905
76	0.1173399305
77	0.115119795
78	0.1130780662
79	0.1110024064
80	0.1093964023
81	0.1074138273
82	0.1053400404
83	0.1034985866
84	0.1014062983
85	0.09941688587
86	0.09809398894
87	0.09604976787
88	0.0940894541
89	0.09266962718
90	0.09071332402
91	0.08920070711
92	0.08795062813
93	0.08671442035
94	0.08532270357
95	0.08395846605
96	0.08238318608
97	0.08140906322
98	0.08020538565
99	0.07903568326
100	0.07785852876
101	0.07663318151
102	0.07528204753
103	0.07377914327
104	0.07221641803
105	0.07111565182
106	0.06995707111
107	0.06871225809
108	0.06750996423
109	0.06634929601
110	0.06527268158
111	0.06436321808
112	0.06343216549
113	0.0623651171
114	0.06133084253
115	0.06041384235
116	0.05964268647
117	0.05872786927
118	0.05781536524
119	0.05683071522
120	0.05602221801
121	0.05526565021
122	0.05415531452
123	0.05337785531
124	0.05250505688
125	0.05175427286
126	0.05111041714
127	0.05046722726
128	0.04983050854
129	0.04915355142
130	0.0483441334
131	0.04765211269
132	0.0471415391
133	0.04646094232
134	0.0458477402
135	0.04517187449
